Full Name,Hand,WAR/GS,ERA,xWAR/GS,SIERA,ERA Change,bpWAR/GS,WAR/IP,Updated WAR/GS,Updated xWAR/GS,Updated WAR/IP,Updated ERA
Abner Uribe MIL,R,#DIV/0!,3.7791,0.087083335,3.92,0.080899985,0.030555556,0.015277778,#DIV/0!,0.085219124,0.014950724,3.859999985
Patrick Sandoval BOS,L,0.082170779,3.7897,0.08474,3.88,0.130899942,0.029733333,0.014866667,0.07933252,0.081812998,0.014353157,3.920599942
Emmanuel Clase CLE,R,#DIV/0!,3.7961,0.095443335,3.71,0.001000037,0.03348889,0.016744445,#DIV/0!,0.095418192,0.016740034,3.797100037
Jonah Tong NYN,R,0.087839503,3.7964,0.091326665,3.74,0.019699925,0.032044444,0.016022222,0.087383695,0.090852761,0.015939081,3.816099925
Jose Alvarado PHI,L,#DIV/0!,3.8032,0.087526667,3.85,0.03419996,0.030711111,0.015355556,#DIV/0!,0.08673959,0.015217472,3.83739996
Ben Joyce LAA,R,#DIV/0!,3.806,0.088730001,3.71,0.060600096,0.031133334,0.015566667,#DIV/0!,0.08731722,0.01531881,3.866600096
Jose A. Ferrer SEA,L,#DIV/0!,3.8083,0.085753331,3.83,0.120899904,0.030088888,0.015044444,#DIV/0!,0.08303097,0.014566837,3.929199904
George Kirby SEA,R,0.100490581,3.8208,0.098926671,3.48,-0.025299757,0.034711113,0.017355556,0.101155988,0.099581723,0.017470478,3.795500243
Brandon Woodruff MIL,R,0.10082062,3.8253,0.094366669,3.42,0.084899979,0.033111112,0.016555556,0.098582974,0.092272264,0.016188116,3.910199979
Trey Yesavage TOR,R,0.089858911,3.8303,0.088096667,3.65,0.162400211,0.030911111,0.015455556,0.086048999,0.084361472,0.014800258,3.992700211
Brandon Walter HOU,L,0.085518814,3.8318,0.085626663,3.7,0.004800125,0.030044443,0.015022222,0.085411684,0.085519398,0.015003403,3.836600125
David Peterson NYN,L,0.080552129,3.8346,0.078913334,3.97,-0.01779991,0.027688889,0.013844445,0.080926046,0.079279643,0.013908709,3.81680009
